id_pedido,transportadora,valor_frete,cidade_destino,data_postagem,data_previsao_entrega,data_entrega_real,status_pedido,nota_review,comentario_cliente
PED-1101,Loggi,130.26,Curitiba,2025-05-09,2025-05-16,2025-05-11,Entregue,4,Excelente atendimento e entrega.
PED-1102,Jadlog,71.53,São Paulo,2025-05-09,2025-05-16,,Em Trânsito,3,"Nada de especial, cumpriu o básico."
PED-1103,FedEx,29.68,Joinville,2025-05-09,2025-05-14,2025-05-13,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1104,Jadlog,52.37,Belo Horizonte,2025-05-10,2025-05-19,2025-05-24,Entregue,2,Frete caro e entrega lenta.
PED-1105,FedEx,127.01,Manaus,2025-05-10,2025-05-18,2025-05-22,Entregue,2,Muito atraso na entrega.
PED-1106,FedEx,50.56,Joinville,2025-05-10,2025-05-16,,Extraviado,3,"Razoável, poderia ser melhor."
PED-1107,Jadlog,40.39,Florianópolis,2025-05-11,2025-05-18,,Cancelado,3,"Produto bom, mas o frete foi caro."
PED-1108,Loggi,27.07,Belo Horizonte,2025-05-11,2025-05-17,2025-05-16,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1109,Loggi,22.15,Campinas,2025-05-10,2025-05-15,2025-05-15,Entregue,5,"Tudo certo, nota 10!"
PED-1110,Correios,20.64,São Paulo,2025-05-10,2025-05-16,2025-05-18,Entregue,1,Produto chegou com defeito.
PED-1111,FedEx,90.59,Joinville,2025-05-10,2025-05-18,2025-05-12,Entregue,4,Superou minhas expectativas!
PED-1112,Loggi,28.52,São Paulo,2025-05-12,2025-05-22,,Em Trânsito,4,"Chegou antes do prazo, excelente!"
PED-1113,Loggi,130.63,Belém,2025-05-11,2025-05-20,2025-05-14,Entregue,5,"Frete rápido, adorei!"
PED-1114,Jadlog,50.05,Curitiba,2025-05-11,2025-05-18,2025-05-15,Entregue,5,Ótimo custo-benefício!
PED-1115,Correios,33.9,Goiânia,2025-05-12,2025-05-22,2025-05-17,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1116,FedEx,59.16,Curitiba,2025-05-12,2025-05-22,2025-05-22,Entregue,4,Superou minhas expectativas!
PED-1117,FedEx,24.26,Joinville,2025-05-12,2025-05-19,2025-05-14,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1118,Jadlog,74.39,Campinas,2025-05-13,2025-05-23,2025-05-20,Entregue,4,Superou minhas expectativas!
PED-1119,Jadlog,38.75,Curitiba,2025-05-13,2025-05-19,2025-05-23,Entregue,2,Produto não era o que esperava.
PED-1120,Jadlog,59.17,Manaus,2025-05-13,2025-05-21,2025-05-20,Entregue,4,Parabéns pela agilidade!
PED-1121,Correios,115.54,Campinas,2025-05-13,2025-05-18,2025-05-16,Entregue,4,"Muito bom, sem reclamações."
PED-1122,Correios,17.26,São Paulo,2025-05-14,2025-05-24,2025-05-20,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1123,FedEx,16.58,Curitiba,2025-05-15,2025-05-22,2025-05-22,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1124,FedEx,24.28,Brasília,2025-05-14,2025-05-24,,Em Trânsito,4,"Muito bom, sem reclamações."
PED-1125,Correios,16.98,São Paulo,2025-05-14,2025-05-21,2025-05-21,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1126,Loggi,59.38,Brasília,2025-05-14,2025-05-22,,Em Trânsito,2,Cancelei porque demorou demais.
PED-1127,FedEx,36.69,Florianópolis,2025-05-15,2025-05-20,,Cancelado,1,Cancelei porque demorou demais.
PED-1128,Jadlog,103.31,Belo Horizonte,2025-05-15,2025-05-24,2025-05-20,Entregue,4,Parabéns pela agilidade!
PED-1129,Loggi,22.44,Florianópolis,2025-05-15,2025-05-20,2025-05-18,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1130,Correios,63.74,Belo Horizonte,2025-05-16,2025-05-24,2025-05-18,Entregue,5,Parabéns pela agilidade!
PED-1131,FedEx,111.63,Joinville,2025-05-16,2025-05-25,2025-05-23,Entregue,5,"Produto top, recomendo!"
PED-1132,Correios,118.31,São Paulo,2025-05-15,2025-05-25,2025-05-20,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1133,FedEx,38.41,São Paulo,2025-05-16,2025-05-24,2025-05-22,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1134,Jadlog,53.12,Porto Alegre,2025-05-16,2025-05-22,,Em Trânsito,4,Parabéns pela agilidade!
PED-1135,FedEx,87.81,Salvador,2025-05-16,2025-05-26,,Em Trânsito,3,"Razoável, poderia ser melhor."
PED-1136,FedEx,141.05,Curitiba,2025-05-17,2025-05-22,2025-05-24,Entregue,2,Atendimento ao cliente inexistente.
PED-1137,Correios,138.2,Joinville,2025-05-17,2025-05-24,2025-05-23,Entregue,4,Excelente atendimento e entrega.
PED-1138,Loggi,32.61,Joinville,2025-05-17,2025-05-24,2025-05-22,Entregue,5,Ótimo custo-benefício!
PED-1139,FedEx,148.14,Recife,2025-05-17,2025-05-23,2025-05-22,Entregue,5,Parabéns pela agilidade!
PED-1140,FedEx,137.77,Rio de Janeiro,2025-05-19,2025-05-25,2025-05-22,Entregue,4,"Muito bom, sem reclamações."
PED-1141,Jadlog,17.65,São Paulo,2025-05-20,2025-05-25,2025-05-22,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1142,Correios,128.06,Belo Horizonte,2025-05-19,2025-05-28,2025-05-23,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1143,FedEx,58.93,Joinville,2025-05-20,2025-05-26,2025-05-22,Entregue,5,"Frete rápido, adorei!"
PED-1144,Jadlog,126.27,São Paulo,2025-05-21,2025-05-26,2025-05-23,Entregue,5,"Produto top, recomendo!"
PED-1145,Correios,108.18,Brasília,2025-05-21,2025-05-26,2025-05-28,Entregue,2,Produto não era o que esperava.
PED-1146,Correios,139.93,Goiânia,2025-05-21,2025-05-29,2025-05-24,Entregue,5,Parabéns pela agilidade!
PED-1147,FedEx,66.64,Curitiba,2025-05-21,2025-05-27,2025-05-30,Entregue,1,Produto não era o que esperava.
PED-1148,Correios,22.13,Curitiba,2025-05-22,2025-06-01,2025-05-27,Entregue,4,"Muito bom, sem reclamações."
PED-1149,Loggi,71.75,São Paulo,2025-05-22,2025-05-28,,Cancelado,2,Produto não era o que esperava.
PED-1150,FedEx,61.26,Manaus,2025-05-22,2025-06-01,,Em Trânsito,2,Atendimento ao cliente inexistente.
PED-1151,Correios,113.79,Campinas,2025-05-23,2025-05-28,,Cancelado,2,Atendimento ao cliente inexistente.
PED-1152,Correios,19.82,Brasília,2025-05-22,2025-05-30,,Cancelado,2,"Veio errado, tive que devolver."
PED-1153,Correios,29.58,Porto Alegre,2025-05-23,2025-05-31,2025-05-26,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1154,FedEx,18.37,Joinville,2025-05-22,2025-05-29,2025-06-02,Entregue,2,Atendimento ao cliente inexistente.
PED-1155,FedEx,57.9,Manaus,2025-05-23,2025-06-02,2025-06-01,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1156,Correios,144.7,Belo Horizonte,2025-05-24,2025-05-30,2025-06-04,Entregue,3,"Produto bom, mas o frete foi caro."
PED-1157,FedEx,58.28,Goiânia,2025-05-23,2025-06-02,2025-06-07,Entregue,3,Entrega demorou mais que o previsto.
PED-1158,FedEx,115.09,Belo Horizonte,2025-05-25,2025-06-01,2025-06-01,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1159,Loggi,67.62,Recife,2025-05-24,2025-05-30,2025-05-27,Entregue,5,Excelente atendimento e entrega.
PED-1160,Jadlog,84.71,São Paulo,2025-05-26,2025-06-02,2025-05-31,Entregue,4,"Frete rápido, adorei!"
PED-1161,Loggi,45.9,Belém,2025-05-26,2025-06-03,2025-06-07,Entregue,1,Atendimento ao cliente inexistente.
PED-1162,FedEx,34.6,Joinville,2025-05-25,2025-06-01,2025-05-30,Entregue,4,"Tudo certo, nota 10!"
PED-1163,Jadlog,77.75,Rio de Janeiro,2025-05-25,2025-06-02,2025-05-31,Entregue,5,"Produto top, recomendo!"
PED-1164,Jadlog,98.64,Curitiba,2025-05-27,2025-06-05,2025-06-04,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1165,Jadlog,17.1,São Paulo,2025-05-27,2025-06-04,2025-06-04,Entregue,5,Parabéns pela agilidade!
PED-1166,Jadlog,16.19,Porto Alegre,2025-05-28,2025-06-07,2025-06-03,Entregue,5,"Muito bom, sem reclamações."
PED-1167,Correios,29.14,Joinville,2025-05-29,2025-06-06,2025-05-31,Entregue,4,"Frete rápido, adorei!"
PED-1168,Jadlog,22.58,São Paulo,2025-05-29,2025-06-04,2025-06-01,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1169,Loggi,47.42,Rio de Janeiro,2025-05-29,2025-06-05,,Em Trânsito,4,Superou minhas expectativas!
PED-1170,FedEx,120.36,Florianópolis,2025-05-29,2025-06-08,2025-05-31,Entregue,5,"Produto top, recomendo!"
PED-1171,Jadlog,52.82,Florianópolis,2025-05-30,2025-06-05,2025-06-03,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1172,FedEx,19.85,São Paulo,2025-05-30,2025-06-05,2025-06-03,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1173,FedEx,131.47,Curitiba,2025-05-30,2025-06-07,2025-06-02,Entregue,5,"Tudo certo, nota 10!"
PED-1174,Jadlog,46.03,São Paulo,2025-05-30,2025-06-07,,Cancelado,2,Pior experiência de compra online.
PED-1175,FedEx,44.51,Salvador,2025-05-31,2025-06-05,2025-06-05,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1176,FedEx,17.04,Curitiba,2025-05-30,2025-06-07,2025-06-06,Entregue,4,Ótimo custo-benefício!
PED-1177,FedEx,83.21,Recife,2025-06-01,2025-06-06,2025-06-04,Entregue,5,"Tudo certo, nota 10!"
PED-1178,Jadlog,26.4,Rio de Janeiro,2025-05-31,2025-06-08,2025-06-04,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1179,FedEx,114.04,São Paulo,2025-05-31,2025-06-08,2025-06-06,Entregue,4,"Produto original, vendedor confiável."
PED-1180,Loggi,46.7,São Paulo,2025-06-02,2025-06-12,2025-06-16,Entregue,3,"Chegou com pequeno atraso, mas o produto é bom."
PED-1181,Correios,129.73,Joinville,2025-06-02,2025-06-07,2025-06-06,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1182,Loggi,59.29,Recife,2025-06-03,2025-06-10,,Em Trânsito,4,Excelente atendimento e entrega.
PED-1183,Correios,38.74,Porto Alegre,2025-06-02,2025-06-07,2025-06-04,Entregue,5,"Produto original, vendedor confiável."
PED-1184,Jadlog,70.27,São Paulo,2025-06-02,2025-06-11,2025-06-08,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1185,Correios,52.97,São Paulo,2025-06-02,2025-06-10,,Cancelado,1,"Não recomendo, péssima experiência."
PED-1186,Jadlog,105.02,Curitiba,2025-06-05,2025-06-13,2025-06-11,Entregue,5,"Produto original, vendedor confiável."
PED-1187,Correios,20.63,Porto Alegre,2025-06-05,2025-06-15,2025-06-07,Entregue,5,Ótimo custo-benefício!
PED-1188,Loggi,46.37,Belo Horizonte,2025-06-04,2025-06-09,2025-06-09,Entregue,4,"Embalagem perfeita, produto intacto."
PED-1189,Jadlog,21.25,Joinville,2025-06-05,2025-06-15,2025-06-15,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1190,Correios,17.98,Rio de Janeiro,2025-06-05,2025-06-15,2025-06-10,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1191,Jadlog,23.66,Florianópolis,2025-06-05,2025-06-10,2025-06-08,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1192,FedEx,146.67,São Paulo,2025-06-07,2025-06-13,2025-06-09,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1193,Jadlog,119.63,Florianópolis,2025-06-06,2025-06-11,2025-06-15,Entregue,3,"Nada de especial, cumpriu o básico."
PED-1194,FedEx,66.94,São Paulo,2025-06-06,2025-06-12,2025-06-09,Entregue,5,"Frete rápido, adorei!"
PED-1195,Loggi,32.78,São Paulo,2025-06-07,2025-06-14,,Em Trânsito,4,"Muito bom, sem reclamações."
PED-1196,Jadlog,119.2,Rio de Janeiro,2025-06-07,2025-06-15,2025-06-15,Entregue,4,"Produto top, recomendo!"
PED-1197,Correios,46.87,Curitiba,2025-06-07,2025-06-13,2025-06-09,Entregue,5,Superou minhas expectativas!
PED-1198,FedEx,112.76,Florianópolis,2025-06-08,2025-06-14,2025-06-12,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1199,FedEx,108.45,Salvador,2025-06-08,2025-06-16,,Extraviado,3,Esperava mais pela qualidade do produto.
PED-1200,Correios,65.76,São Paulo,2025-06-09,2025-06-15,2025-06-15,Entregue,4,Ótimo custo-benefício!
PED-1201,Correios,27.99,Brasília,2025-06-10,2025-06-17,2025-06-12,Entregue,5,"Tudo certo, nota 10!"
PED-1202,Loggi,127.24,Porto Alegre,2025-06-09,2025-06-14,,Em Trânsito,4,Excelente atendimento e entrega.
PED-1203,Correios,15.69,Florianópolis,2025-06-09,2025-06-15,2025-06-11,Entregue,5,"Produto top, recomendo!"
PED-1204,Jadlog,45.02,Belo Horizonte,2025-06-10,2025-06-20,2025-06-18,Entregue,5,Parabéns pela agilidade!
PED-1205,Correios,28.25,Salvador,2025-06-11,2025-06-20,2025-06-20,Entregue,5,Parabéns pela agilidade!
PED-1206,Jadlog,57.69,Rio de Janeiro,2025-06-11,2025-06-17,2025-06-17,Entregue,5,"Produto top, recomendo!"
PED-1207,FedEx,58.7,São Paulo,2025-06-11,2025-06-20,2025-06-22,Entregue,2,Muito atraso na entrega.
PED-1208,Loggi,121.11,Curitiba,2025-06-10,2025-06-15,2025-06-12,Entregue,4,"Produto top, recomendo!"
PED-1209,Loggi,21.55,Curitiba,2025-06-12,2025-06-21,2025-06-20,Entregue,5,Ótimo custo-benefício!
PED-1210,Jadlog,15.87,Belo Horizonte,2025-06-11,2025-06-19,2025-06-24,Entregue,1,"Embalagem danificada, produto riscado."
PED-1211,FedEx,33.4,Brasília,2025-06-11,2025-06-19,,Em Trânsito,3,"Produto ok, mas a entrega atrasou um pouco."
PED-1212,Correios,23.79,Porto Alegre,2025-06-12,2025-06-20,2025-06-20,Entregue,4,Parabéns pela agilidade!
PED-1213,Jadlog,47.74,São Paulo,2025-06-12,2025-06-20,,Em Trânsito,3,"Nada de especial, cumpriu o básico."
PED-1214,FedEx,55.54,Rio de Janeiro,2025-06-14,2025-06-20,2025-06-16,Entregue,5,"Tudo certo, nota 10!"
