id_pedido,id_cliente,data_compra,sku_produto,produto_nome,categoria,peso_gramas,quantidade,custo_unitario,valor_unitario_venda,cupom_desconto,percentual_desconto
PED-1064,127,2025-04-26 00:15:55,AC-002,Teclado Mecânico RGB,Acessórios,607,2,124.95,199.5,,0.0
PED-1065,35,2025-04-26 02:25:47,LIC-001,Licença Antivírus Kaspersky,Licenças,0,1,68.34,92.69,,0.0
PED-1066,38,2025-04-26 06:53:17,SW-004,AutoCAD 2024,Software,0,2,305.46,658.66,,0.0
PED-1067,99,2025-04-26 16:51:31,HW-008,Gabinete Gamer RGB,Hardware,4212,2,266.77,697.61,OFF20,0.2
PED-1068,43,2025-04-26 17:37:27,HW-006,Fonte 750W Modular,Hardware,3333,2,584.94,963.23,OFF20,0.2
PED-1069,122,2025-04-26 20:50:56,LIC-001,Licença Antivírus Kaspersky,Licenças,0,1,63.81,80.19,,0.0
PED-1070,133,2025-04-27 04:43:32,AC-004,Webcam Full HD,Acessórios,226,2,60.53,201.24,,0.0
PED-1071,139,2025-04-27 15:57:07,HW-002,Notebook Gamer i7,Hardware,2642,2,2983.3,4541.8,,0.0
PED-1072,46,2025-04-27 22:05:05,HW-002,Notebook Gamer i7,Hardware,2628,1,2257.4,4909.64,PROMO10,0.1
PED-1073,191,2025-04-28 00:48:11,SW-002,Microsoft Office 365,Software,0,2,154.25,429.57,,0.0
PED-1074,78,2025-04-28 06:36:46,HW-001,Monitor 24pol IPS,Hardware,3915,3,937.47,1640.48,,0.0
PED-1075,107,2025-04-28 09:02:09,LIC-003,Licença Cloud 1TB,Licenças,0,3,97.25,116.33,,0.0
PED-1076,77,2025-04-28 11:15:09,HW-003,Placa de Vídeo RTX 4060,Hardware,2587,2,1978.0,3298.55,,0.0
PED-1077,8,2025-04-29 00:57:24,HW-004,SSD NVMe 1TB,Hardware,2039,2,201.81,540.57,OFF20,0.2
PED-1078,29,2025-04-29 04:10:43,AC-002,Teclado Mecânico RGB,Acessórios,639,1,132.44,218.82,,0.0
PED-1079,11,2025-04-30 10:39:37,HW-007,Placa-Mãe B550,Hardware,2728,1,833.7,1034.9,,0.0
PED-1080,90,2025-04-30 23:00:38,SW-004,AutoCAD 2024,Software,0,1,345.99,577.88,PROMO10,0.1
PED-1081,87,2025-05-01 00:49:54,SW-003,Adobe Creative Cloud,Software,0,1,357.05,473.88,PROMO10,0.1
PED-1082,178,2025-05-01 17:07:30,LIC-003,Licença Cloud 1TB,Licenças,0,2,99.42,213.36,,0.0
PED-1083,180,2025-05-02 09:34:32,LIC-004,Licença Backup Acronis,Licenças,0,2,218.88,339.9,OFF20,0.2
PED-1084,32,2025-05-03 06:28:26,HW-008,Gabinete Gamer RGB,Hardware,4331,3,485.8,779.13,,0.0
PED-1085,181,2025-05-03 10:18:24,HW-007,Placa-Mãe B550,Hardware,2132,3,895.66,1092.25,,0.0
PED-1086,31,2025-05-03 15:28:05,SW-003,Adobe Creative Cloud,Software,0,3,384.89,592.37,PROMO10,0.1
PED-1087,185,2025-05-03 18:07:30,AC-007,Cabo HDMI 2.1 3m,Acessórios,230,3,46.36,79.84,,0.0
PED-1088,48,2025-05-03 23:53:32,SW-004,AutoCAD 2024,Software,0,2,472.37,606.87,OFF20,0.2
PED-1089,118,2025-05-04 19:37:18,AC-003,Headset Gamer 7.1,Acessórios,444,2,65.64,189.77,,0.0
PED-1090,90,2025-05-05 05:45:17,SW-003,Adobe Creative Cloud,Software,0,2,444.43,719.86,,0.0
PED-1091,67,2025-05-05 19:50:14,HW-005,Processador Ryzen 7,Hardware,2111,2,1438.72,1957.07,OFF20,0.2
PED-1092,25,2025-05-06 05:19:54,AC-006,Mousepad XL Gamer,Acessórios,519,2,47.07,58.55,,0.0
PED-1093,79,2025-05-06 14:56:00,AC-002,Teclado Mecânico RGB,Acessórios,762,2,120.39,300.2,,0.0
PED-1094,8,2025-05-06 17:57:42,LIC-001,Licença Antivírus Kaspersky,Licenças,0,1,32.07,119.62,,0.0
PED-1095,26,2025-05-06 18:04:59,AC-005,Hub USB-C 7 Portas,Acessórios,258,1,27.38,60.24,,0.0
PED-1096,2,2025-05-07 09:53:05,AC-004,Webcam Full HD,Acessórios,200,3,81.37,208.93,PROMO10,0.1
PED-1097,78,2025-05-07 14:06:27,AC-003,Headset Gamer 7.1,Acessórios,338,2,78.37,191.65,,0.0
PED-1098,165,2025-05-07 21:20:18,AC-001,Mouse Wireless Ergonômico,Acessórios,202,2,32.15,140.17,,0.0
PED-1099,13,2025-05-08 03:46:06,LIC-001,Licença Antivírus Kaspersky,Licenças,0,3,30.24,59.5,,0.0
PED-1100,145,2025-05-08 06:31:54,AC-007,Cabo HDMI 2.1 3m,Acessórios,291,3,29.51,55.78,PROMO10,0.1
PED-1101,80,2025-05-08 12:38:53,HW-006,Fonte 750W Modular,Hardware,3092,2,420.73,627.35,OFF20,0.2
PED-1102,15,2025-05-08 20:01:21,HW-005,Processador Ryzen 7,Hardware,2166,3,927.86,1741.95,,0.0
PED-1103,56,2025-05-08 21:53:01,SW-003,Adobe Creative Cloud,Software,0,3,234.8,713.42,,0.0
PED-1104,200,2025-05-08 23:35:55,HW-004,SSD NVMe 1TB,Hardware,2079,3,370.55,653.96,PROMO10,0.1
PED-1105,26,2025-05-09 00:05:03,HW-001,Monitor 24pol IPS,Hardware,4135,2,1095.01,1315.82,PROMO10,0.1
PED-1106,173,2025-05-09 13:07:41,AC-006,Mousepad XL Gamer,Acessórios,310,1,33.77,47.17,PROMO10,0.1
PED-1107,88,2025-05-09 13:24:39,AC-001,Mouse Wireless Ergonômico,Acessórios,276,1,79.63,98.9,PROMO10,0.1
PED-1108,53,2025-05-09 14:42:04,LIC-002,Licença VPN NordVPN,Licenças,0,3,76.76,129.33,PROMO10,0.1
PED-1109,154,2025-05-09 15:43:30,LIC-002,Licença VPN NordVPN,Licenças,0,2,86.51,112.57,PROMO10,0.1
PED-1110,71,2025-05-09 18:34:45,SW-001,Windows 11 Pro,Software,0,1,462.83,715.71,,0.0
PED-1111,104,2025-05-09 23:18:12,HW-007,Placa-Mãe B550,Hardware,2604,2,503.33,922.66,,0.0
PED-1112,167,2025-05-10 01:08:22,SW-003,Adobe Creative Cloud,Software,0,1,287.68,683.42,OFF20,0.2
PED-1113,99,2025-05-10 09:48:58,HW-004,SSD NVMe 1TB,Hardware,2060,2,231.23,687.92,,0.0
PED-1114,50,2025-05-10 11:30:21,AC-001,Mouse Wireless Ergonômico,Acessórios,209,3,39.94,82.03,,0.0
PED-1115,194,2025-05-10 21:12:03,AC-003,Headset Gamer 7.1,Acessórios,318,2,98.38,162.72,,0.0
PED-1116,90,2025-05-10 21:42:25,AC-003,Headset Gamer 7.1,Acessórios,467,1,120.23,172.14,OFF20,0.2
PED-1117,39,2025-05-11 16:09:52,LIC-003,Licença Cloud 1TB,Licenças,0,1,30.35,191.41,,0.0
PED-1118,52,2025-05-11 19:00:44,HW-005,Processador Ryzen 7,Hardware,2129,2,935.02,1974.19,,0.0
PED-1119,105,2025-05-11 22:47:26,AC-003,Headset Gamer 7.1,Acessórios,474,1,101.09,275.28,,0.0
PED-1120,38,2025-05-12 01:55:43,AC-003,Headset Gamer 7.1,Acessórios,388,1,128.41,263.5,OFF20,0.2
PED-1121,10,2025-05-12 04:35:15,HW-007,Placa-Mãe B550,Hardware,2720,3,613.24,1093.08,OFF20,0.2
PED-1122,46,2025-05-12 12:33:57,LIC-002,Licença VPN NordVPN,Licenças,0,1,68.25,166.83,,0.0
PED-1123,119,2025-05-13 03:13:32,SW-004,AutoCAD 2024,Software,0,1,378.7,565.74,,0.0
PED-1124,38,2025-05-13 08:47:58,SW-003,Adobe Creative Cloud,Software,0,2,274.13,592.48,PROMO10,0.1
PED-1125,20,2025-05-13 09:23:58,LIC-001,Licença Antivírus Kaspersky,Licenças,0,3,69.91,108.66,OFF20,0.2
PED-1126,84,2025-05-13 12:04:16,AC-001,Mouse Wireless Ergonômico,Acessórios,202,1,60.86,130.65,,0.0
PED-1127,122,2025-05-13 12:23:02,AC-002,Teclado Mecânico RGB,Acessórios,725,1,174.05,287.11,OFF20,0.2
PED-1128,13,2025-05-13 23:42:00,HW-005,Processador Ryzen 7,Hardware,2023,3,942.25,1204.7,,0.0
PED-1129,154,2025-05-14 19:04:37,LIC-001,Licença Antivírus Kaspersky,Licenças,0,1,60.88,120.3,,0.0
PED-1130,181,2025-05-14 20:41:20,HW-002,Notebook Gamer i7,Hardware,2421,1,2133.01,3222.91,,0.0
PED-1131,191,2025-05-14 20:52:45,HW-002,Notebook Gamer i7,Hardware,2859,3,2232.11,4470.19,PROMO10,0.1
PED-1132,155,2025-05-14 22:01:27,HW-007,Placa-Mãe B550,Hardware,2273,1,636.25,1133.63,,0.0
PED-1133,121,2025-05-15 01:41:40,AC-002,Teclado Mecânico RGB,Acessórios,666,1,188.35,309.45,OFF20,0.2
PED-1134,92,2025-05-15 09:11:11,AC-005,Hub USB-C 7 Portas,Acessórios,251,3,48.22,147.31,OFF20,0.2
PED-1135,127,2025-05-15 15:18:31,HW-005,Processador Ryzen 7,Hardware,2104,2,1414.04,1764.96,PROMO10,0.1
PED-1136,5,2025-05-15 16:28:21,HW-004,SSD NVMe 1TB,Hardware,2042,3,310.92,454.85,,0.0
PED-1137,32,2025-05-15 18:34:00,HW-002,Notebook Gamer i7,Hardware,2874,3,2381.94,4296.76,OFF20,0.2
PED-1138,102,2025-05-15 19:45:45,AC-006,Mousepad XL Gamer,Acessórios,347,1,26.66,67.83,OFF20,0.2
PED-1139,177,2025-05-16 11:58:01,HW-002,Notebook Gamer i7,Hardware,2895,3,2761.99,3631.78,PROMO10,0.1
PED-1140,17,2025-05-17 13:33:15,HW-004,SSD NVMe 1TB,Hardware,2001,3,288.69,544.53,PROMO10,0.1
PED-1141,187,2025-05-18 01:44:52,SW-004,AutoCAD 2024,Software,0,1,428.34,605.9,,0.0
PED-1142,44,2025-05-18 04:01:35,HW-008,Gabinete Gamer RGB,Hardware,4989,2,333.05,551.87,PROMO10,0.1
PED-1143,69,2025-05-19 05:27:18,HW-005,Processador Ryzen 7,Hardware,2062,3,1157.93,1656.88,,0.0
PED-1144,47,2025-05-19 07:00:12,HW-002,Notebook Gamer i7,Hardware,2730,2,2926.02,3475.29,,0.0
PED-1145,172,2025-05-19 07:50:29,HW-006,Fonte 750W Modular,Hardware,3269,1,437.91,955.82,OFF20,0.2
PED-1146,135,2025-05-19 10:19:44,HW-003,Placa de Vídeo RTX 4060,Hardware,2214,2,1777.81,3378.03,PROMO10,0.1
PED-1147,108,2025-05-19 18:01:21,HW-003,Placa de Vídeo RTX 4060,Hardware,2525,2,2369.13,3409.71,,0.0
PED-1148,19,2025-05-20 02:48:01,AC-003,Headset Gamer 7.1,Acessórios,418,3,113.83,156.77,PROMO10,0.1
PED-1149,150,2025-05-20 10:04:02,HW-006,Fonte 750W Modular,Hardware,3238,2,586.43,883.06,,0.0
PED-1150,9,2025-05-20 21:26:24,HW-006,Fonte 750W Modular,Hardware,2624,2,494.86,616.92,,0.0
PED-1151,19,2025-05-21 02:08:18,HW-004,SSD NVMe 1TB,Hardware,2049,3,211.93,576.28,,0.0
PED-1152,90,2025-05-21 08:49:37,SW-001,Windows 11 Pro,Software,0,3,449.86,598.19,,0.0
PED-1153,103,2025-05-21 10:17:31,AC-005,Hub USB-C 7 Portas,Acessórios,248,2,50.72,66.85,,0.0
PED-1154,154,2025-05-21 11:34:31,LIC-002,Licença VPN NordVPN,Licenças,0,3,89.76,161.49,,0.0
PED-1155,194,2025-05-21 19:28:05,AC-003,Headset Gamer 7.1,Acessórios,450,3,133.49,163.37,OFF20,0.2
PED-1156,131,2025-05-22 06:49:00,HW-008,Gabinete Gamer RGB,Hardware,4215,1,359.61,622.33,PROMO10,0.1
PED-1157,88,2025-05-22 18:14:10,AC-003,Headset Gamer 7.1,Acessórios,408,3,77.74,262.24,OFF20,0.2
PED-1158,183,2025-05-23 05:30:02,HW-007,Placa-Mãe B550,Hardware,2545,2,671.22,1125.16,,0.0
PED-1159,167,2025-05-23 16:39:33,HW-005,Processador Ryzen 7,Hardware,2136,2,1347.83,1817.64,,0.0
PED-1160,131,2025-05-24 06:52:46,HW-003,Placa de Vídeo RTX 4060,Hardware,2026,2,1808.8,3053.3,,0.0
PED-1161,62,2025-05-24 07:52:04,AC-001,Mouse Wireless Ergonômico,Acessórios,273,3,42.81,140.18,PROMO10,0.1
PED-1162,97,2025-05-24 09:43:22,AC-007,Cabo HDMI 2.1 3m,Acessórios,265,1,57.59,108.35,,0.0
PED-1163,194,2025-05-24 10:06:54,HW-001,Monitor 24pol IPS,Hardware,3989,2,740.41,1952.81,OFF20,0.2
PED-1164,118,2025-05-25 10:48:06,HW-001,Monitor 24pol IPS,Hardware,3879,3,1000.39,1343.8,,0.0
PED-1165,5,2025-05-25 11:03:26,LIC-002,Licença VPN NordVPN,Licenças,0,3,69.36,157.18,OFF20,0.2
PED-1166,101,2025-05-26 16:44:25,LIC-002,Licença VPN NordVPN,Licenças,0,3,74.41,146.04,OFF20,0.2
PED-1167,175,2025-05-27 05:55:40,SW-001,Windows 11 Pro,Software,0,2,344.59,477.74,,0.0
PED-1168,34,2025-05-27 07:06:57,AC-001,Mouse Wireless Ergonômico,Acessórios,265,3,45.6,79.78,OFF20,0.2
PED-1169,75,2025-05-28 03:56:58,AC-002,Teclado Mecânico RGB,Acessórios,771,1,172.67,254.97,,0.0
PED-1170,77,2025-05-28 14:30:13,HW-001,Monitor 24pol IPS,Hardware,4801,1,782.0,1476.05,PROMO10,0.1
PED-1171,98,2025-05-28 15:28:53,AC-005,Hub USB-C 7 Portas,Acessórios,281,2,30.34,73.14,,0.0
PED-1172,47,2025-05-28 16:37:21,LIC-001,Licença Antivírus Kaspersky,Licenças,0,1,62.36,127.9,,0.0
PED-1173,8,2025-05-29 04:33:45,HW-007,Placa-Mãe B550,Hardware,2203,1,441.0,1327.64,,0.0
PED-1174,125,2025-05-29 07:14:14,AC-004,Webcam Full HD,Acessórios,247,3,106.1,218.06,,0.0
PED-1175,13,2025-05-29 19:18:02,AC-003,Headset Gamer 7.1,Acessórios,350,3,103.15,253.56,,0.0
PED-1176,117,2025-05-29 23:00:09,SW-003,Adobe Creative Cloud,Software,0,1,389.98,663.33,OFF20,0.2
PED-1177,106,2025-05-30 01:18:40,HW-002,Notebook Gamer i7,Hardware,2404,1,2734.27,3464.65,,0.0
PED-1178,8,2025-05-30 03:36:12,SW-002,Microsoft Office 365,Software,0,1,240.6,303.64,,0.0
PED-1179,185,2025-05-30 21:34:45,HW-003,Placa de Vídeo RTX 4060,Hardware,2036,3,2300.4,3320.27,,0.0
PED-1180,14,2025-05-31 12:18:24,AC-005,Hub USB-C 7 Portas,Acessórios,222,2,67.21,133.48,,0.0
PED-1181,25,2025-05-31 17:47:03,HW-004,SSD NVMe 1TB,Hardware,2058,1,259.55,682.87,,0.0
PED-1182,11,2025-06-01 05:52:05,HW-006,Fonte 750W Modular,Hardware,2702,2,499.2,824.51,PROMO10,0.1
PED-1183,63,2025-06-01 08:37:37,AC-007,Cabo HDMI 2.1 3m,Acessórios,236,2,22.66,107.71,,0.0
PED-1184,155,2025-06-01 11:21:18,HW-008,Gabinete Gamer RGB,Hardware,4917,1,320.78,400.02,,0.0
PED-1185,33,2025-06-01 12:07:37,AC-006,Mousepad XL Gamer,Acessórios,394,3,23.47,67.65,OFF20,0.2
PED-1186,196,2025-06-03 01:19:50,HW-002,Notebook Gamer i7,Hardware,2222,3,2610.04,4148.75,,0.0
PED-1187,179,2025-06-03 11:32:08,SW-003,Adobe Creative Cloud,Software,0,1,213.86,538.09,,0.0
PED-1188,197,2025-06-03 15:33:01,AC-004,Webcam Full HD,Acessórios,228,3,104.5,156.95,,0.0
PED-1189,65,2025-06-03 17:44:42,SW-004,AutoCAD 2024,Software,0,3,335.33,741.86,OFF20,0.2
PED-1190,48,2025-06-04 03:04:42,LIC-004,Licença Backup Acronis,Licenças,0,3,290.59,356.06,,0.0
PED-1191,4,2025-06-04 17:51:23,LIC-001,Licença Antivírus Kaspersky,Licenças,0,3,53.31,130.31,,0.0
PED-1192,72,2025-06-05 15:06:07,HW-002,Notebook Gamer i7,Hardware,2941,3,2599.6,4041.59,,0.0
PED-1193,47,2025-06-05 17:55:26,HW-007,Placa-Mãe B550,Hardware,2710,2,649.88,1264.56,PROMO10,0.1
PED-1194,106,2025-06-05 21:51:27,HW-006,Fonte 750W Modular,Hardware,3489,3,564.22,964.5,,0.0
PED-1195,6,2025-06-05 22:29:31,AC-002,Teclado Mecânico RGB,Acessórios,639,1,114.02,216.69,,0.0
PED-1196,22,2025-06-06 11:25:10,HW-002,Notebook Gamer i7,Hardware,2248,1,2420.14,3966.62,PROMO10,0.1
PED-1197,77,2025-06-06 19:46:26,AC-005,Hub USB-C 7 Portas,Acessórios,209,2,38.21,53.88,,0.0
PED-1198,61,2025-06-07 11:03:24,HW-007,Placa-Mãe B550,Hardware,2576,3,896.52,1064.07,,0.0
PED-1199,180,2025-06-07 16:36:46,HW-008,Gabinete Gamer RGB,Hardware,4835,3,409.76,882.29,PROMO10,0.1
PED-1200,156,2025-06-08 08:59:09,HW-003,Placa de Vídeo RTX 4060,Hardware,2484,2,2180.58,3027.96,PROMO10,0.1
PED-1201,2,2025-06-08 11:58:04,AC-002,Teclado Mecânico RGB,Acessórios,726,3,106.91,154.4,,0.0
PED-1202,43,2025-06-08 14:14:40,HW-007,Placa-Mãe B550,Hardware,2378,1,786.11,1098.06,,0.0
PED-1203,101,2025-06-08 14:43:54,SW-003,Adobe Creative Cloud,Software,0,1,191.4,390.13,OFF20,0.2
PED-1204,110,2025-06-08 23:18:33,AC-001,Mouse Wireless Ergonômico,Acessórios,259,2,67.66,81.93,,0.0
PED-1205,11,2025-06-09 14:28:31,AC-002,Teclado Mecânico RGB,Acessórios,718,3,140.01,249.6,,0.0
PED-1206,149,2025-06-09 14:43:24,AC-006,Mousepad XL Gamer,Acessórios,594,2,47.3,92.25,OFF20,0.2
PED-1207,150,2025-06-09 19:48:37,AC-001,Mouse Wireless Ergonômico,Acessórios,338,2,33.07,84.28,,0.0
PED-1208,197,2025-06-09 20:46:36,HW-001,Monitor 24pol IPS,Hardware,4585,2,776.64,1940.95,PROMO10,0.1
PED-1209,59,2025-06-10 00:44:29,LIC-002,Licença VPN NordVPN,Licenças,0,3,66.2,129.92,,0.0
PED-1210,196,2025-06-10 02:34:14,SW-003,Adobe Creative Cloud,Software,0,3,262.67,720.13,,0.0
PED-1211,154,2025-06-10 09:00:05,AC-003,Headset Gamer 7.1,Acessórios,423,2,130.81,201.22,PROMO10,0.1
PED-1212,10,2025-06-10 11:29:00,LIC-001,Licença Antivírus Kaspersky,Licenças,0,2,57.22,112.9,OFF20,0.2
PED-1213,14,2025-06-10 18:40:05,AC-006,Mousepad XL Gamer,Acessórios,519,3,35.39,45.31,,0.0
PED-1214,84,2025-06-12 08:12:31,AC-007,Cabo HDMI 2.1 3m,Acessórios,297,1,36.09,117.08,,0.0
PED-1215,75,2025-06-12 12:01:12,LIC-002,Licença VPN NordVPN,Licenças,0,3,99.14,118.57,,0.0
PED-1216,77,2025-06-12 14:40:17,LIC-003,Licença Cloud 1TB,Licenças,0,3,107.09,214.46,,0.0
PED-1217,160,2025-06-12 19:35:18,HW-003,Placa de Vídeo RTX 4060,Hardware,2251,1,1927.67,3888.08,,0.0
PED-1218,54,2025-06-12 22:44:48,AC-001,Mouse Wireless Ergonômico,Acessórios,292,3,70.7,113.21,,0.0
